continent,国家,country,area,smoke,fat,sport,hypertension,hyperglycemia,deaths,gdp,population,deathRate,smoke_m,smoke_f,fat_m,fat_f,sport_m,sport_f,hypertension_m,hypertension_f,hyperglycemia_m,hyperglycemia_f
2,埃及,Egypt,"995,450",23.5,31.1,29.9,22.6,16.2,245904,3496,"95,056,000",0.669423445,0.99,0.01,0.35,0.65,0.36,0.64,0.49,0.51,0.44,0.56
2,赤道几内亚,Equatorial Guinea,"28,050",Not available,7.4,No data,24.1,7.6,1496,14241,"817,240",0.602982668,Not available,Not available,0.24,0.76,No data,No data,0.53,0.47,0.52,0.48
2,厄立特里亚,Eritrea,"101,000",7.2,4.1,20.5,21.1,3.4,6617,792,"6,760,400",0.589908175,0.95,0.05,0.22,0.78,0.29,0.71,0.5,0.5,0.52,0.48
2,埃塞俄比亚,Ethiopia,"1,000,000",Not available,3.6,13.6,23.6,3.8,109500,698,"103,856,000",0.579668715,Not available,Not available,0.22,0.78,0.38,0.62,0.49,0.51,0.53,0.47
2,加蓬,Gabon,"257,670",Not available,13.4,24.3,21.5,8.1,2518,8241,"1,767,200",0.632663317,Not available,Not available,0.32,0.68,0.33,0.67,0.55,0.45,0.49,0.51
2,冈比亚,Gambia,"10,120",14.5,8.7,19.2,21.5,5.8,2259,914,"969,300",0.664411765,0.98,0.02,0.28,0.72,0.37,0.63,0.54,0.46,0.56,0.44
2,加纳,Ghana,"227,540",Not available,9.7,20.3,18.6,4.8,42231,1541,"28,072,000",0.652377421,0.97,0.03,0.21,0.79,0.42,0.58,0.53,0.47,0.48,0.52
2,几内亚,Guinea,"245,720",Not available,6.6,13.5,24.1,4.7,17388,522,"12,948,000",0.634181924,Not available,Not available,0.25,0.75,0.35,0.65,0.49,0.51,0.52,0.48
2,几内亚比绍,Guinea-Bissau,"28,120",Not available,8.2,No data,24,5.2,2080,649,"1,799,900",0.615020698,Not available,Not available,0.28,0.72,No data,No data,0.5,0.5,0.51,0.49
2,肯尼亚,Kenya,"569,140",6,6,14.2,19.9,4,21473,1458,"47,268,000",0.393509016,0.95,0.05,0.21,0.79,0.45,0.55,0.52,0.48,0.48,0.52
2,莱索托,Lesotho,"30,360",20.4,13.5,5.9,21.5,6,4057,869,"2,078,900",0.53039613,0.99,0.01,0.14,0.86,0.5,0.5,0.44,0.56,0.38,0.62
2,利比里亚,Liberia,"96,320",7.5,8.6,23.5,22.3,5.6,4745,457,"4,749,100",0.612021153,0.91,0.09,0.28,0.72,0.42,0.58,0.51,0.49,0.5,0.5
2,利比亚,Libya,"1,759,540",Not available,31.8,34.4,20.5,13.7,11638,4964,"6,679,000",0.642947903,1,0,0.39,0.61,0.42,0.58,0.55,0.45,0.48,0.52
2,马达加斯加,Madagascar,"581,800",Not available,4.5,15.9,21.8,3.9,31096,391,"24,905,000",0.573726937,0.97,0.03,0.29,0.71,0.36,0.64,0.51,0.49,0.56,0.44
2,马拉维,Malawi,"94,280",Not available,4.7,14.5,21.7,4.3,12397,309,"17,735,000",0.44216571,0.99,0.01,0.2,0.8,0.41,0.59,0.49,0.51,0.51,0.49
2,马里,Mali,"1,220,190",9.1,7.1,39.6,24.9,5,21979,778,"18,117,000",0.584750047,0.93,0.07,0.27,0.73,0.42,0.58,0.48,0.52,0.55,0.45
2,毛里塔尼亚,Mauritania,"1,030,700",17.8,11.3,39.5,25.7,6.7,5152,1133,"4,165,800",0.647724415,0.87,0.13,0.27,0.73,0.43,0.57,0.51,0.49,0.46,0.54
2,毛里求斯,Mauritius,"2,030",21.7,11.5,29.1,27,14.2,3336,8830,"1,329,600",0.426489389,0.92,0.08,0.26,0.74,0.46,0.54,0.51,0.49,0.49,0.51
2,摩洛哥,Morocco,"446,300",15.1,25.6,25.4,23.8,12.4,69457,2973,"34,851,000",0.617187083,0.99,0.01,0.37,0.63,0.39,0.61,0.5,0.5,0.51,0.49
2,莫桑比克,Mozambique,"786,380",Not available,6,5.1,22.8,4.6,23748,419,"28,757,000",0.473558268,Not available,Not available,0.24,0.76,0.45,0.55,0.49,0.51,0.49,0.51
2,纳米比亚,Namibia,"823,290",Not available,15,31.4,22.4,5.4,3283,4353,"2,339,400",0.562928669,Not available,Not available,0.22,0.78,0.43,0.57,0.5,0.5,0.46,0.54
2,尼日尔,Niger,"1,266,700",Not available,4.7,21,27.1,4.1,22350,366,"20,675,000",0.65285973,Not available,Not available,0.24,0.76,0.43,0.57,0.49,0.51,0.55,0.45
2,尼日利亚,Nigeria,"910,770",2.9,7.8,24.7,18.2,4.3,225602,2127,"190,817,000",0.616486495,0.95,0.05,0.26,0.74,0.45,0.55,0.49,0.51,0.51,0.49
2,卢旺达,Rwanda,"24,670",Not available,4.8,13.4,19.6,2.8,9139,702,"11,890,000",0.438868613,0.77,0.23,0.17,0.83,0.37,0.63,0.49,0.51,0.47,0.53
2,圣多美和普林西比,Sao Tome and Principe,960,3.5,10.6,14.6,19.6,5.6,209,1720,"204,030",0.511002445,0.89,0.11,0.3,0.7,0.31,0.69,0.53,0.47,0.5,0.5
2,塞内加尔,Senegal,"192,530",Not available,7.4,21.2,23,5.1,16236,954,"15,594,000",0.60091047,Not available,Not available,0.23,0.77,0.38,0.62,0.5,0.5,0.48,0.52
2,塞舌尔,Seychelles,460,Not available,14.6,18.8,23.5,10.1,265,15476,"91,689",0.577342048,0.83,0.17,0.27,0.73,0.47,0.53,0.55,0.45,0.48,0.52
2,塞拉利昂,Sierra Leone,"72,180",22.5,7.5,13.3,23.3,4.8,12714,656,"6,535,100",0.684394682,0.84,0.16,0.23,0.77,0.34,0.66,0.5,0.5,0.52,0.48
2,索马里,Somalia,"627,340",Not available,6.9,No data,25.8,4.8,15981,,"1,432,000",0.610148137,Not available,Not available,0.25,0.75,No data,No data,0.52,0.48,0.54,0.46
